[2024-08-15T07:00:01.511+0700] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-15T07:00:02.283+0700] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scrap_to_dag.scrape_oto scheduled__2024-08-14T00:00:00+00:00 [queued]>
[2024-08-15T07:00:02.292+0700] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scrap_to_dag.scrape_oto scheduled__2024-08-14T00:00:00+00:00 [queued]>
[2024-08-15T07:00:02.293+0700] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-15T07:00:02.312+0700] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): scrape_oto> on 2024-08-14 00:00:00+00:00
[2024-08-15T07:00:02.316+0700] {standard_task_runner.py:64} INFO - Started process 169518 to run task
[2024-08-15T07:00:02.319+0700] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'scrap_to_dag', 'scrape_oto', 'scheduled__2024-08-14T00:00:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/oto/scrap_oto.py', '--cfg-path', '/tmp/tmp3402amuu']
[2024-08-15T07:00:02.321+0700] {standard_task_runner.py:91} INFO - Job 33: Subtask scrape_oto
[2024-08-15T07:00:02.397+0700] {task_command.py:426} INFO - Running <TaskInstance: scrap_to_dag.scrape_oto scheduled__2024-08-14T00:00:00+00:00 [running]> on host BrightHorizons.
[2024-08-15T07:00:02.527+0700] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='scrap_to_dag' AIRFLOW_CTX_TASK_ID='scrape_oto' AIRFLOW_CTX_EXECUTION_DATE='2024-08-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-08-14T00:00:00+00:00'
[2024-08-15T07:00:02.528+0700] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-15T07:00:02.556+0700] {logging_mixin.py:188} INFO - Fetching data for price category: dibawah-30-juta on date: 2024-08-15
[2024-08-15T07:00:03.089+0700] {logging_mixin.py:188} INFO - Fetching page 1 of 5 for price category: dibawah-30-juta
[2024-08-15T07:00:06.846+0700] {logging_mixin.py:188} INFO - Fetching page 2 of 5 for price category: dibawah-30-juta
[2024-08-15T07:00:10.666+0700] {logging_mixin.py:188} INFO - Fetching page 3 of 5 for price category: dibawah-30-juta
[2024-08-15T07:00:13.197+0700] {logging_mixin.py:188} INFO - Fetching page 4 of 5 for price category: dibawah-30-juta
[2024-08-15T07:00:16.413+0700] {logging_mixin.py:188} INFO - Fetching page 5 of 5 for price category: dibawah-30-juta
[2024-08-15T07:00:21.266+0700] {logging_mixin.py:188} INFO - Data for price category dibawah-30-juta written to /home/miracle/mobil/scrape/output/oto/2024-08-15/oto_car_dibawah_30_juta_2024-08-15.csv
[2024-08-15T07:00:21.266+0700] {logging_mixin.py:188} INFO - Fetching data for price category: dibawah-40-juta on date: 2024-08-15
[2024-08-15T07:00:22.197+0700] {logging_mixin.py:188} INFO - Fetching page 1 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:25.874+0700] {logging_mixin.py:188} INFO - Fetching page 2 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:30.339+0700] {logging_mixin.py:188} INFO - Fetching page 3 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:34.559+0700] {logging_mixin.py:188} INFO - Fetching page 4 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:40.125+0700] {logging_mixin.py:188} INFO - Fetching page 5 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:43.495+0700] {logging_mixin.py:188} INFO - Fetching page 6 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:45.174+0700] {logging_mixin.py:188} INFO - Fetching page 7 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:48.635+0700] {logging_mixin.py:188} INFO - Fetching page 8 of 17 for price category: dibawah-40-juta
[2024-08-15T07:00:53.227+0700] {logging_mixin.py:188} INFO - Fetching page 9 of 17 for price category: dibawah-40-juta
