Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2022 Wuling Confero 1.5 Wagon Double Blower ISTIMEWA TERAWAT SIAP PAKAI,89500000.0,27500.0,Pertamax,N/A,Tangerang,8.0,N/A,https://www.mobil123.com/dijual/wuling-confero-banten-karawaci/14893374
2016 Daihatsu Ayla 1.0 X Hatchback // PROMO DP 5jt,82000000.0,62500.0,Pertamax,N/A,Bekasi,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-barat-cikarang-utara/14862640
2014 Nissan March 1.2 1.2L Hatchback,80000000.0,87500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-jawa-barat-sawangan/14909503
2016 Daihatsu Ayla 1.0 X Hatchback DP 5 JUTA CICILAN SANGAT TERJANGKAU GARANSI MESIN TRANSMISI SM AC 1 TAHUN FREE DETAILING FULL BODY,82000000.0,62500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-banten-cikupa/14804848
2016 Daihatsu Ayla 1.0 X Hatchback PAJAK DES 2024 / Garansi 1Th / Bunga 0 Persen / DP dan Angsuran Ringan / Bebas Banjir dan Tabrak Berat,82000000.0,62500.0,Pertamax,N/A,Jakarta Timur,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-taman-mini/14978333
2011 Nissan Grand Livina 1.5 XV MPV Matic kredit DP 6jt an,87500000.0,142500.0,Pertamax,N/A,Surabaya,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-xv-jawa-timur-surabaya/14789713
2016 Suzuki Karimun Wagon R 1.0 GL Wagon R Hatchback (TDP 8 JT),83000000.0,57500.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/suzuki-karimun-wagon-r-gl-wagon-r-dki-jakarta-mangga-dua/14673044
2018 Suzuki Ignis 1.2 GL Hatchback TDP 3jt ( Km 25rb ),88000000.0,22500.0,Pertamax,N/A,Jakarta Timur,5.0,N/A,https://www.mobil123.com/dijual/suzuki-ignis-gl-dki-jakarta-pondok-kelapa/14993147
2018 Suzuki Ignis 1.2 GL Hatchback,90000000.0,22500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/suzuki-ignis-gl-dki-jakarta-kemayoran/14992590
2017 Daihatsu Ayla 1.0 X Hatchback,80000000.0,22500.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-kelapa-gading/14992500
"( TDP 30jt ) Chevrolet Spin 1,5 LTZ SUV 2013 Hitam Kondisi Istimewa Bergaransi Dan Dijamin Siap Pakai #Kawanmobilbekas ",85000000.0,100000.0,Pertamax,N/A,Jakarta Selatan,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-bintaro/14992348
2018 Suzuki Ignis 1.2 GL Hatchback,88000000.0,22500.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/suzuki-ignis-gl-dki-jakarta-manggarai/14992068
2013 Nissan March 1.2L Hatchback,90000000.0,82500.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-dki-jakarta-cilandak/14991594
2011 Mazda 2 1.5 R Hatchback CASH TERMURAH CREDIT DP20JT VELG BIKIN GANTENG GASKEUN ANAK MUDA,89000000.0,87500.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/mazda-2-r-jawa-barat-bogor-kota/14907178
2011 Nissan Juke 1.5 RX SUV,87000000.0,112500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/nissan-juke-rx-banten-alam-sutera/14991620
2013 Chevrolet Spin 1.5 LTZ SUV ( TDP 30jt ) Harga Kredit 80jt & Cash 100Jt Nego Sampai Deal,80000000.0,92500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-duren-sawit/14991474
2013 Nissan Grand Livina 1.5 X-Gear MPV,90000000.0,132500.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-x-gear-banten-tangerang/14991447
2013 Chevrolet Spin 1.5 LTZ SUV,80000000.0,117500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-duren-sawit/14991444
2015 Daihatsu Gran Max 1.5 BOX Single Cab Pick-up,88000000.0,297500.0,Pertamax,N/A,Surabaya,3.0,N/A,https://www.mobil123.com/dijual/daihatsu-gran-max-box-single-cab-jawa-timur-wonokromo/14991175
2012 Daihatsu Xenia 1.3 R SPORTY MPV,89000000.0,102500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-r-sporty-dki-jakarta-jatiwaringin/14760052
2015 Daihatsu Ayla 1.0 X Hatchback,90000000.0,77500.0,Pertamax,N/A,Surabaya,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-timur-raya-a-yani/14990614
2017 Daihatsu Ayla 1.0 X Hatchback,85000000.0,22500.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-tambora/14990257
2015 Toyota Agya 1.0 TRD Sportivo Hatchback - BEST PRICE,89000000.0,72500.0,Pertamax,N/A,Cikarang,5.0,N/A,https://www.mobil123.com/dijual/toyota-agya-trd-sportivo-jawa-barat-cikarang-baru/14989819
2013 Chevrolet Spin 1.5 LTZ SUV Hitan KM75ribuan TGN Pertama,90000000.0,72500.0,Pertamax,N/A,Jakarta Selatan,7.0,N/A,https://www.mobil123.com/dijual/chevrolet-spin-ltz-dki-jakarta-bintaro/14989513
2005 Toyota Kijang Innova 2.0 G MPV,82500000.0,333333.0,Pertamax,N/A,Bandung,8.0,N/A,https://www.mobil123.com/dijual/toyota-kijang-innova-g-jawa-barat-buah-batu/14863814
2012 Daihatsu Xenia 1.3 R STD MPV Antik KM 45 Rb,89000000.0,37500.0,Pertamax,N/A,Jakarta Pusat,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-r-std-dki-jakarta-senen/14961211
"2009 Toyota Avanza 1,5 S MPV",88000000.0,238000.0,Pertamax,N/A,Tangerang,7.0,N/A,https://www.mobil123.com/dijual/toyota-avanza-s-banten-pamulang/14988775
2005 Toyota Camry 2.4 G Sedan TDP MULAI 5 JUTA DAN GARANSI MESIN TRANSMISI,85000000.0,252500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/toyota-camry-g-dki-jakarta-kemayoran/14988753
