Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2016 Honda Mobilio  RS CVT,160000000,60000,Bensin,Cvt,Jakarta Timur,6,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-rs-cvt-621080,oto
2016 Honda Mobilio  RS CVT,160000000,50000,Bensin,Cvt,Jakarta Timur,6,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-rs-cvt-621078,oto
2016 Honda Mobilio  1.5 E MT CKD,136000000,60235,Bensin,Unknown,Jakarta Timur,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-mobilio-2013-2018-1-5-e-mt-ckd-613864,oto
2009 Toyota Camry  2.4 V AT,115000000,123856,Bensin,Otomatis,Jakarta Timur,5,2362 CC,https://www.oto.com/detail-mobil-bekas/toyota-camry-2006-2015-2-4-v-at-542556,oto
2022 Toyota Rush 1.5 S AT GR Sport,263000000,11096,Bensin,Otomatis,Bantul,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-rush-1-5-s-at-gr-sport-650697,oto
2022 Toyota Rush 1.5 S AT GR Sport,263000000,11097,Bensin,Otomatis,Bantul,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-rush-1-5-s-at-gr-sport-650698,oto
2022 Toyota Rush 1.5 S AT GR Sport,263000000,11095,Bensin,Otomatis,Bantul,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-rush-1-5-s-at-gr-sport-650694,oto
2019 Honda Brio Satya E M/T,130000000,63000,Bensin,Manual,Sleman,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-mt-650695,oto
2017 Honda Mobilio E CVT,157000000,103000,Bensin,Cvt,Sleman,7,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-e-cvt-650620,oto
2014 Toyota Yaris G CVT 3 AB,145000000,96000,Bensin,Cvt,Sleman,5,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-yaris-g-cvt-3-ab-650619,oto
2019 Toyota Avanza 1.3E MT,145000000,171000,Bensin,Manual,Jakarta Timur,7,1329 CC,https://www.oto.com/detail-mobil-bekas/toyota-avanza-1-3e-mt-650667,oto
2017 Toyota Calya G AT,1115000000,103000,Bensin,Otomatis,Jakarta Timur,7,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-calya-g-at-650680,oto
2011 Daihatsu Xenia  1.3L R DLX MT,94000000,151347,Bensin,Unknown,Jakarta Timur,0,Unknown,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2009-2018-1-3l-r-dlx-mt-650679,oto
2023 Daihatsu Sigra 1.2 R DLX MT,1325000000,12993,Bensin,Manual,Jakarta Timur,7,1197 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-sigra-1-2-r-dlx-mt-650686,oto
