Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
1991 Suzuki Carry Standar 1.3L MT,"Rp 42,9 Juta                        Rekomendasi","100,000 Km",Bensin,,Bantul,,,https://www.oto.com/detail-mobil-bekas/suzuki-carry-standar-1-3l-mt-619681,oto
2007 Suzuki Karimun  Estillo 1.1L MT,Rp 55 Juta                        Rekomendasi,"53,288 Km",Bensin,,Bekasi,,,https://www.oto.com/detail-mobil-bekas/suzuki-karimun-2007-2014-estillo-1-1l-mt-559544,oto
2011 Suzuki Futura 1.5 M/T PICK UP BOX,Rp 58 Juta                        Rekomendasi,"152,000 Km",Bensin,,Tangerang,,,https://www.oto.com/detail-mobil-bekas/suzuki-futura-2005-2015-new-1-5-mt-pick-up-box-599390,oto
2000 Mitsubishi Kuda  diamond,Rp 43 Juta                        Rekomendasi,"150,000 Km",Bensin,Manual,Tangerang,7 seat,,https://www.oto.com/detail-mobil-bekas/mitsubishi-kuda-1999-2005-new-diamond-649406,oto
1989 Suzuki Carreta 1,"Rp 30,9 Juta                        Rekomendasi","500,000 Km",Bensin,,Bantul,,,https://www.oto.com/detail-mobil-bekas/suzuki-carreta-1-619683,oto
2014 Tata Xenon RX,"Rp 42,5 Juta","95,000 Km",Diesel,Manual,Tangerang,2 seat,2956 CC,https://www.oto.com/detail-mobil-bekas/tata-xenon-rx-650677,oto
2019 Toyota Agya 1.2L G AT TRD,Rp 56 Juta,"53,341 Km",Bensin,,Balikpapan,,,https://www.oto.com/detail-mobil-bekas/toyota-agya-1-2l-g-at-trd-646718,oto
2018 Toyota Agya 1.2L G AT TRD,Rp 60 Juta,"45,210 Km",Bensin,,Balikpapan,,,https://www.oto.com/detail-mobil-bekas/toyota-agya-1-2l-g-at-trd-646638,oto
2015 Toyota Rush 1.5L TRD AT,Rp 60 Juta,"51,282 Km",Diesel,,Palembang,,,https://www.oto.com/detail-mobil-bekas/toyota-rush-1-5l-trd-at-646763,oto
2013 Toyota Avanza G 1.3L MT,Rp 50 Juta,"95,282 Km",Bensin,,Palembang,,,https://www.oto.com/detail-mobil-bekas/toyota-avanza-g-1-3l-mt-646738,oto
2022 Toyota Agya 1.2L GR Sport A/T,Rp 56 Juta,"17,000 Km",Bensin,Otomatis,Surabaya,5 seat,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-agya-1-2l-gr-sport-at-646549,oto
2017 Daihatsu Ayla 1.2L R AT,Rp 45 Juta,"67,511 Km",Bensin,Otomatis,Balikpapan,5 seat,1197 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-1-2l-r-at-646530,oto
2015 Honda Mobilio RS CVT,Rp 45 Juta,"65,881 Km",Bensin,Cvt,Balikpapan,7 seat,1496 CC,https://www.oto.com/detail-mobil-bekas/honda-mobilio-rs-cvt-646527,oto
2004 Toyota Kijang  1.8L LGX,Rp 47 Juta,"54,846 Km",Bensin,Manual,Demak,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lgx-646559,oto
